ensembl_gene_id	external_gene_name	description	gene_biotype
ENSG00000004948	CALCR	calcitonin receptor 	protein_coding
ENSG00000004961	HCCS	holocytochrome c synthase 	protein_coding
ENSG00000004975	DVL2	dishevelled segment polarity protein 2 	protein_coding
ENSG00000005001	PRSS22	serine protease 22 	protein_coding
ENSG00000005007	UPF1	UPF1 RNA helicase and ATPase 	protein_coding
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 	protein_coding
ENSG00000005022	SLC25A5	solute carrier family 25 member 5 	protein_coding
ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative subunit beta 	protein_coding
ENSG00000005073	HOXA11	homeobox A11 	protein_coding
ENSG00000005075	POLR2J	RNA polymerase II subunit J 	protein_coding
ENSG00000005100	DHX33	DEAH-box helicase 33 	protein_coding
ENSG00000005102	MEOX1	mesenchyme homeobox 1 	protein_coding
ENSG00000005108	THSD7A	thrombospondin type 1 domain containing 7A 	protein_coding
ENSG00000005156	LIG3	DNA ligase 3 	protein_coding
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 	protein_coding
ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3 	protein_coding
ENSG00000005189	REXO5	RNA exonuclease 5 	protein_coding
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 	protein_coding
ENSG00000005206	SPPL2B	signal peptide peptidase like 2B 	protein_coding
ENSG00000005238	ATOSB	atos homolog B 	protein_coding
ENSG00000005243	COPZ2	coat protein complex I subunit zeta 2 	protein_coding
ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta 	protein_coding
ENSG00000005302	MSL3	MSL complex subunit 3 	protein_coding
ENSG00000005339	CREBBP	CREB binding lysine acetyltransferase  	protein_coding
ENSG00000005379	TSPOAP1	TSPO associated protein 1 	protein_coding
ENSG00000005381	MPO	myeloperoxidase 	protein_coding
ENSG00000005421	PON1	paraoxonase 1 	protein_coding
ENSG00000005436	GCFC2	GC-rich sequence DNA-binding factor 2 	protein_coding
ENSG00000005448	WDR54	WD repeat domain 54 	protein_coding
ENSG00000005469	CROT	carnitine O-octanoyltransferase 	protein_coding
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4 	protein_coding
ENSG00000005483	KMT2E	lysine methyltransferase 2E (inactive) 	protein_coding
ENSG00000005486	RHBDD2	rhomboid domain containing 2 	protein_coding
ENSG00000005513	SOX8	SRY-box transcription factor 8 	protein_coding
ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase 	protein_coding
ENSG00000005801	ZNF195	zinc finger protein 195 	protein_coding
ENSG00000005810	MYCBP2	MYC binding protein 2 	protein_coding
ENSG00000005812	FBXL3	F-box and leucine rich repeat protein 3 	protein_coding
ENSG00000005844	ITGAL	integrin subunit alpha L 	protein_coding
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 	protein_coding
ENSG00000005884	ITGA3	integrin subunit alpha 3 	protein_coding
ENSG00000005889	ZFX	zinc finger protein X-linked 	protein_coding
ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 	protein_coding
ENSG00000005961	ITGA2B	integrin subunit alpha 2b 	protein_coding
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4 	protein_coding
ENSG00000006007	GDE1	glycerophosphodiester phosphodiesterase 1 	protein_coding
ENSG00000006015	REX1BD	required for excision 1-B domain containing 	protein_coding
ENSG00000006016	CRLF1	cytokine receptor like factor 1 	protein_coding
ENSG00000006025	OSBPL7	oxysterol binding protein like 7 	protein_coding
ENSG00000006042	TMEM98	transmembrane protein 98 	protein_coding
ENSG00000006047	YBX2	Y-box binding protein 2 	protein_coding
ENSG00000006059	KRT33A	keratin 33A 	protein_coding
ENSG00000006062	MAP3K14	mitogen-activated protein kinase kinase kinase 14 	protein_coding
ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8 	protein_coding
ENSG00000006116	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 	protein_coding
ENSG00000006118	TMEM132A	transmembrane protein 132A 	protein_coding
ENSG00000006125	AP2B1	adaptor related protein complex 2 subunit beta 1 	protein_coding
ENSG00000006128	TAC1	tachykinin precursor 1 	protein_coding
ENSG00000006194	ZNF263	zinc finger protein 263 	protein_coding
ENSG00000006210	CX3CL1	C-X3-C motif chemokine ligand 1 	protein_coding
ENSG00000006282	SPATA20	spermatogenesis associated 20 	protein_coding
ENSG00000006283	CACNA1G	calcium voltage-gated channel subunit alpha1 G 	protein_coding
ENSG00000006327	TNFRSF12A	TNF receptor superfamily member 12A 	protein_coding
ENSG00000006377	DLX6	distal-less homeobox 6 	protein_coding
ENSG00000006432	MAP3K9	mitogen-activated protein kinase kinase kinase 9 	protein_coding
ENSG00000006451	RALA	RAS like proto-oncogene A 	protein_coding
ENSG00000006453	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1 	protein_coding
ENSG00000006459	KDM7A	lysine demethylase 7A 	protein_coding
ENSG00000006468	ETV1	ETS variant transcription factor 1 	protein_coding
ENSG00000006530	AGK	acylglycerol kinase 	protein_coding
ENSG00000006534	ALDH3B1	aldehyde dehydrogenase 3 family member B1 	protein_coding
ENSG00000006555	TTC22	tetratricopeptide repeat domain 22 	protein_coding
ENSG00000006576	PHTF2	putative homeodomain transcription factor 2 	protein_coding
ENSG00000006606	CCL26	C-C motif chemokine ligand 26 	protein_coding
ENSG00000006607	FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2 	protein_coding
ENSG00000006611	USH1C	USH1 protein network component harmonin 	protein_coding
ENSG00000006625	GGCT	gamma-glutamylcyclotransferase 	protein_coding
ENSG00000006634	DBF4	DBF4-CDC7 kinase regulatory subunit 	protein_coding
ENSG00000006638	TBXA2R	thromboxane A2 receptor 	protein_coding
ENSG00000006652	IFRD1	interferon related developmental regulator 1 	protein_coding
ENSG00000006659	LGALS14	galectin 14 	protein_coding
ENSG00000006695	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 	protein_coding
ENSG00000006704	GTF2IRD1	GTF2I repeat domain containing 1 	protein_coding
ENSG00000006712	PAF1	PAF1 component of Paf1/RNA polymerase II complex 	protein_coding
ENSG00000006715	VPS41	VPS41 subunit of HOPS complex 	protein_coding
ENSG00000006740	ARHGAP44	Rho GTPase activating protein 44 	protein_coding
ENSG00000006744	ELAC2	elaC ribonuclease Z 2 	protein_coding
ENSG00000006747	SCIN	scinderin 	protein_coding
ENSG00000006756	ARSD	arylsulfatase D 	protein_coding
ENSG00000006757	PNPLA4	patatin like domain 4, phospholipase and triacylglycerol lipase  	protein_coding
ENSG00000006788	MYH13	myosin heavy chain 13 	protein_coding
ENSG00000006831	ADIPOR2	adiponectin receptor 2 	protein_coding
ENSG00000006837	CDKL3	cyclin dependent kinase like 3 	protein_coding
ENSG00000007001	UPP2	uridine phosphorylase 2 	protein_coding
ENSG00000007038	PRSS21	serine protease 21 	protein_coding
ENSG00000007047	MARK4	microtubule affinity regulating kinase 4 	protein_coding
ENSG00000007062	PROM1	prominin 1 	protein_coding
ENSG00000007080	CCDC124	coiled-coil domain containing 124 	protein_coding
ENSG00000007129	CEACAM21	CEA cell adhesion molecule 21 	protein_coding
ENSG00000007168	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 	protein_coding
ENSG00000007171	NOS2	nitric oxide synthase 2 	protein_coding
ENSG00000007174	DNAH9	dynein axonemal heavy chain 9 	protein_coding
ENSG00000007202	BLTP2	bridge-like lipid transfer protein family member 2 	protein_coding
ENSG00000007216	SLC13A2	solute carrier family 13 member 2 	protein_coding
ENSG00000007237	GAS7	growth arrest specific 7 	protein_coding
ENSG00000007255	TRAPPC6A	trafficking protein particle complex subunit 6A 	protein_coding
ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase 	protein_coding
ENSG00000007306	CEACAM7	CEA cell adhesion molecule 7 	protein_coding
ENSG00000007312	CD79B	CD79b molecule 	protein_coding
ENSG00000007314	SCN4A	sodium voltage-gated channel alpha subunit 4 	protein_coding
ENSG00000007341	ST7L	suppression of tumorigenicity 7 like 	protein_coding
ENSG00000007350	TKTL1	transketolase like 1 	protein_coding
ENSG00000007372	PAX6	paired box 6 	protein_coding
ENSG00000007376	RPUSD1	RNA pseudouridine synthase domain containing 1 	protein_coding
ENSG00000007384	RHBDF1	rhomboid 5 homolog 1 	protein_coding
ENSG00000007392	LUC7L	LUC7 like 	protein_coding
ENSG00000007402	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 	protein_coding
ENSG00000007516	BAIAP3	BAI1 associated protein 3 	protein_coding
ENSG00000007520	TSR3	TSR3 ribosome maturation factor 	protein_coding
ENSG00000007541	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q 	protein_coding
ENSG00000007545	CRAMP1	cramped chromatin regulator 1 	protein_coding
ENSG00000007866	TEAD3	TEA domain transcription factor 3 	protein_coding
ENSG00000007908	SELE	selectin E 	protein_coding
ENSG00000007923	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11 	protein_coding
ENSG00000007933	FMO3	flavin containing dimethylaniline monoxygenase 3 	protein_coding
ENSG00000007944	MYLIP	myosin regulatory light chain interacting protein 	protein_coding
ENSG00000007952	NOX1	NADPH oxidase 1 	protein_coding
ENSG00000007968	E2F2	E2F transcription factor 2 	protein_coding
ENSG00000008018	PSMB1	proteasome 20S subunit beta 1 	protein_coding
ENSG00000008056	SYN1	synapsin I 	protein_coding
ENSG00000008083	JARID2	jumonji and AT-rich interaction domain containing 2 	protein_coding
ENSG00000008086	CDKL5	cyclin dependent kinase like 5 	protein_coding
ENSG00000008118	CAMK1G	calcium/calmodulin dependent protein kinase IG 	protein_coding
ENSG00000008128	CDK11A	cyclin dependent kinase 11A 	protein_coding
ENSG00000008130	NADK	NAD kinase 	protein_coding
ENSG00000008196	TFAP2B	transcription factor AP-2 beta 	protein_coding
ENSG00000008197	TFAP2D	transcription factor AP-2 delta 	protein_coding
ENSG00000008226	DLEC1	DLEC1 cilia and flagella associated protein 	protein_coding
ENSG00000008256	CYTH3	cytohesin 3 	protein_coding
ENSG00000008277	ADAM22	ADAM metallopeptidase domain 22 	protein_coding
ENSG00000008282	SYPL1	synaptophysin like 1 	protein_coding
ENSG00000008283	CYB561	cytochrome b561 	protein_coding
ENSG00000008294	SPAG9	sperm associated antigen 9 	protein_coding
ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3 	protein_coding
ENSG00000008311	AASS	aminoadipate-semialdehyde synthase 	protein_coding
ENSG00000008323	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6 	protein_coding
ENSG00000008324	SS18L2	SS18 like 2 	protein_coding
ENSG00000008382	MPND	MPN domain containing 	protein_coding
ENSG00000008394	MGST1	microsomal glutathione S-transferase 1 	protein_coding
ENSG00000008405	CRY1	cryptochrome circadian regulator 1 	protein_coding
ENSG00000008438	PGLYRP1	peptidoglycan recognition protein 1 	protein_coding
ENSG00000008441	NFIX	nuclear factor I X 	protein_coding
ENSG00000008513	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 	protein_coding
ENSG00000008516	MMP25	matrix metallopeptidase 25 	protein_coding
ENSG00000008517	IL32	interleukin 32 	protein_coding
ENSG00000008710	PKD1	polycystin 1, transient receptor potential channel interacting 	protein_coding
ENSG00000008735	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 	protein_coding
ENSG00000008838	MED24	mediator complex subunit 24 	protein_coding
ENSG00000008853	RHOBTB2	Rho related BTB domain containing 2 	protein_coding
ENSG00000008869	HEATR5B	HEAT repeat containing 5B 	protein_coding
ENSG00000008952	SEC62	SEC62 preprotein translocation factor 	protein_coding
ENSG00000008988	RPS20	ribosomal protein S20 	protein_coding
ENSG00000009307	CSDE1	cold shock domain containing E1 	protein_coding
ENSG00000009335	UBE3C	ubiquitin protein ligase E3C 	protein_coding
ENSG00000009413	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit 	protein_coding
ENSG00000009694	TENM1	teneurin transmembrane protein 1 	protein_coding
ENSG00000009709	PAX7	paired box 7 	protein_coding
ENSG00000009724	MASP2	MBL associated serine protease 2 	protein_coding
ENSG00000009765	IYD	iodotyrosine deiodinase 	protein_coding
ENSG00000009780	FAM76A	family with sequence similarity 76 member A 	protein_coding
ENSG00000009790	TRAF3IP3	TRAF3 interacting protein 3 	protein_coding
ENSG00000009830	POMT2	protein O-mannosyltransferase 2 	protein_coding
ENSG00000009844	VTA1	vesicle trafficking 1 	protein_coding
ENSG00000009950	MLXIPL	MLX interacting protein like 	protein_coding
ENSG00000009954	BAZ1B	bromodomain adjacent to zinc finger domain 1B 	protein_coding
ENSG00000010017	RANBP9	RAN binding protein 9 	protein_coding
ENSG00000010030	ETV7	ETS variant transcription factor 7 	protein_coding
ENSG00000010072	SPRTN	SprT-like N-terminal domain 	protein_coding
ENSG00000010165	METTL13	methyltransferase 13, eEF1A N-terminus and K55 	protein_coding
ENSG00000010219	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4 	protein_coding
ENSG00000010244	ZNF207	zinc finger protein 207 	protein_coding
ENSG00000010256	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 	protein_coding
ENSG00000010270	STARD3NL	STARD3 N-terminal like 	protein_coding
ENSG00000010278	CD9	CD9 molecule 	protein_coding
ENSG00000010282	HHATL	hedgehog acyltransferase like 	protein_coding
ENSG00000010292	NCAPD2	non-SMC condensin I complex subunit D2 	protein_coding
ENSG00000010295	IFFO1	intermediate filament family orphan 1 	protein_coding
ENSG00000010310	GIPR	gastric inhibitory polypeptide receptor 	protein_coding
ENSG00000010318	PHF7	PHD finger protein 7 	protein_coding
ENSG00000010319	SEMA3G	semaphorin 3G 	protein_coding
ENSG00000010322	NISCH	nischarin 	protein_coding
ENSG00000010327	STAB1	stabilin 1 	protein_coding
ENSG00000010361	FUZ	fuzzy planar cell polarity protein 	protein_coding
ENSG00000010379	SLC6A13	solute carrier family 6 member 13 	protein_coding
ENSG00000010404	IDS	iduronate 2-sulfatase 	protein_coding
ENSG00000010438	PRSS3	serine protease 3 	protein_coding
ENSG00000010539	ZNF200	zinc finger protein 200 	protein_coding
ENSG00000010610	CD4	CD4 molecule 	protein_coding
ENSG00000010626	LRRC23	leucine rich repeat containing 23 	protein_coding
ENSG00000010671	BTK	Bruton tyrosine kinase 	protein_coding
ENSG00000010704	HFE	homeostatic iron regulator 	protein_coding
ENSG00000010803	SCMH1	Scm polycomb group protein homolog 1 	protein_coding
ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase 	protein_coding
ENSG00000010818	HIVEP2	HIVEP zinc finger 2 	protein_coding
ENSG00000010932	FMO1	flavin containing dimethylaniline monoxygenase 1 	protein_coding
ENSG00000011007	ELOA	elongin A 	protein_coding
ENSG00000011009	LYPLA2	lysophospholipase 2 	protein_coding
ENSG00000011021	CLCN6	chloride voltage-gated channel 6 	protein_coding
ENSG00000011028	MRC2	mannose receptor C-type 2 	protein_coding
ENSG00000011052	NME1-NME2	NME1-NME2 readthrough 	protein_coding
ENSG00000011083	SLC6A7	solute carrier family 6 member 7 	protein_coding
ENSG00000011105	TSPAN9	tetraspanin 9 	protein_coding
ENSG00000011114	BTBD7	BTB domain containing 7 	protein_coding
ENSG00000011132	APBA3	amyloid beta precursor protein binding family A member 3 	protein_coding
ENSG00000011143	MKS1	MKS transition zone complex subunit 1 	protein_coding
ENSG00000011198	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase 	protein_coding
ENSG00000011201	ANOS1	anosmin 1 	protein_coding
ENSG00000011243	AKAP8L	A-kinase anchoring protein 8 like 	protein_coding
ENSG00000011258	MBTD1	mbt domain containing 1 	protein_coding
ENSG00000011260	UTP18	UTP18 small subunit processome component 	protein_coding
ENSG00000011275	RNF216	ring finger protein 216 	protein_coding
ENSG00000011295	TTC19	tetratricopeptide repeat domain 19 	protein_coding
ENSG00000011304	PTBP1	polypyrimidine tract binding protein 1 	protein_coding
ENSG00000011332	DPF1	double PHD fingers 1 	protein_coding
ENSG00000011347	SYT7	synaptotagmin 7 	protein_coding
ENSG00000011376	LARS2	leucyl-tRNA synthetase 2, mitochondrial 	protein_coding
ENSG00000011405	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha 	protein_coding
ENSG00000011422	PLAUR	plasminogen activator, urokinase receptor 	protein_coding
ENSG00000011426	ANLN	anillin, actin binding protein 	protein_coding
ENSG00000011451	WIZ	WIZ zinc finger 	protein_coding
ENSG00000011454	RABGAP1	RAB GTPase activating protein 1 	protein_coding
ENSG00000011465	DCN	decorin 	protein_coding
ENSG00000011478	QPCTL	glutaminyl-peptide cyclotransferase like 	protein_coding
ENSG00000011485	PPP5C	protein phosphatase 5 catalytic subunit 	protein_coding
ENSG00000011523	CEP68	centrosomal protein 68 	protein_coding
ENSG00000011566	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 	protein_coding
ENSG00000011590	ZBTB32	zinc finger and BTB domain containing 32 	protein_coding
ENSG00000011600	TYROBP	transmembrane immune signaling adaptor TYROBP 	protein_coding
ENSG00000011638	LDAF1	lipid droplet assembly factor 1 	protein_coding
ENSG00000011677	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 	protein_coding
ENSG00000012048	BRCA1	BRCA1 DNA repair associated 	protein_coding
ENSG00000012061	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit 	protein_coding
ENSG00000012124	CD22	CD22 molecule 	protein_coding
ENSG00000012171	SEMA3B	semaphorin 3B 	protein_coding
ENSG00000012174	MBTPS2	membrane bound transcription factor peptidase, site 2 	protein_coding
ENSG00000012211	PRICKLE3	prickle planar cell polarity protein 3 	protein_coding
ENSG00000012223	LTF	lactotransferrin 	protein_coding
ENSG00000012232	EXTL3	exostosin like glycosyltransferase 3 	protein_coding
ENSG00000012504	NR1H4	nuclear receptor subfamily 1 group H member 4 	protein_coding
ENSG00000012660	ELOVL5	ELOVL fatty acid elongase 5 	protein_coding
ENSG00000012779	ALOX5	arachidonate 5-lipoxygenase 	protein_coding
ENSG00000012817	KDM5D	lysine demethylase 5D 	protein_coding
ENSG00000012822	CALCOCO1	calcium binding and coiled-coil domain 1 	protein_coding
ENSG00000012963	UBR7	ubiquitin protein ligase E3 component n-recognin 7 	protein_coding
ENSG00000012983	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 	protein_coding
ENSG00000013016	EHD3	EH domain containing 3 	protein_coding
ENSG00000013275	PSMC4	proteasome 26S subunit, ATPase 4 	protein_coding
ENSG00000013288	MAN2B2	mannosidase alpha class 2B member 2 	protein_coding
ENSG00000013293	SLC7A14	solute carrier family 7 member 14 	protein_coding
ENSG00000013297	CLDN11	claudin 11 	protein_coding
ENSG00000013306	SLC25A39	solute carrier family 25 member 39 	protein_coding
ENSG00000013364	MVP	major vault protein 	protein_coding
ENSG00000013374	NUB1	negative regulator of ubiquitin like proteins 1 	protein_coding
ENSG00000013375	PGM3	phosphoglucomutase 3 	protein_coding
ENSG00000013392	RWDD2A	RWD domain containing 2A 	protein_coding
ENSG00000013441	CLK1	CDC like kinase 1 	protein_coding
ENSG00000013503	POLR3B	RNA polymerase III subunit B 	protein_coding
ENSG00000013523	ANGEL1	angel homolog 1 	protein_coding
ENSG00000013561	RNF14	ring finger protein 14 	protein_coding
ENSG00000013563	DNASE1L1	deoxyribonuclease 1 like 1 	protein_coding
ENSG00000013573	DDX11	DEAD/H-box helicase 11 	protein_coding
ENSG00000013583	HEBP1	heme binding protein 1 	protein_coding
ENSG00000013588	GPRC5A	G protein-coupled receptor class C group 5 member A 	protein_coding
ENSG00000013619	MAMLD1	mastermind like domain containing 1 	protein_coding
ENSG00000013725	CD6	CD6 molecule 	protein_coding
ENSG00000013810	TACC3	transforming acidic coiled-coil containing protein 3 	protein_coding
ENSG00000014123	UFL1	UFM1 specific ligase 1 	protein_coding
ENSG00000014138	POLA2	DNA polymerase alpha 2, accessory subunit 	protein_coding
ENSG00000014164	ZC3H3	zinc finger CCCH-type containing 3 	protein_coding
ENSG00000014216	CAPN1	calpain 1 	protein_coding
ENSG00000014257	ACP3	acid phosphatase 3 	protein_coding
ENSG00000014641	MDH1	malate dehydrogenase 1 	protein_coding
ENSG00000014824	SLC30A9	solute carrier family 30 member 9 	protein_coding
ENSG00000014914	MTMR11	myotubularin related protein 11 	protein_coding
ENSG00000014919	COX15	cytochrome c oxidase assembly factor COX15 	protein_coding
ENSG00000015133	CCDC88C	coiled-coil domain containing 88C 	protein_coding
ENSG00000015153	YAF2	YY1 associated factor 2 	protein_coding
ENSG00000015171	ZMYND11	zinc finger MYND-type containing 11 	protein_coding
ENSG00000015285	WAS	WASP actin nucleation promoting factor 	protein_coding
ENSG00000015413	DPEP1	dipeptidase 1 	protein_coding
ENSG00000015475	BID	BH3 interacting domain death agonist 	protein_coding
ENSG00000015479	MATR3	matrin 3 	protein_coding
ENSG00000015520	NPC1L1	NPC1 like intracellular cholesterol transporter 1 	protein_coding
ENSG00000015532	XYLT2	xylosyltransferase 2 	protein_coding
ENSG00000015568	RGPD5	RANBP2 like and GRIP domain containing 5 	protein_coding
ENSG00000015592	STMN4	stathmin 4 	protein_coding
ENSG00000015676	NUDCD3	NudC domain containing 3 	protein_coding
ENSG00000016082	ISL1	ISL LIM homeobox 1 	protein_coding
ENSG00000016391	CHDH	choline dehydrogenase 	protein_coding
ENSG00000016402	IL20RA	interleukin 20 receptor subunit alpha 	protein_coding
ENSG00000016490	CLCA1	chloride channel accessory 1 	protein_coding
ENSG00000016602	CLCA4	chloride channel accessory 4 	protein_coding
ENSG00000016864	GLT8D1	glycosyltransferase 8 domain containing 1 	protein_coding
ENSG00000017260	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 	protein_coding
ENSG00000017427	IGF1	insulin like growth factor 1 	protein_coding
ENSG00000017483	SLC38A5	solute carrier family 38 member 5 	protein_coding
ENSG00000017797	RALBP1	ralA binding protein 1 	protein_coding
ENSG00000018189	RUFY3	RUN and FYVE domain containing 3 	protein_coding
ENSG00000018236	CNTN1	contactin 1 	protein_coding
ENSG00000018280	SLC11A1	solute carrier family 11 member 1 	protein_coding
ENSG00000018408	WWTR1	WW domain containing transcription regulator 1 	protein_coding
ENSG00000018510	AGPS	alkylglycerone phosphate synthase 	protein_coding
ENSG00000018607	ZNF285CP	zinc finger protein 285C, pseudogene 	transcribed_unprocessed_pseudogene
ENSG00000018610	STEEP1	STING1 ER exit protein 1 	protein_coding
ENSG00000018625	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 	protein_coding
ENSG00000018699	TTC27	tetratricopeptide repeat domain 27 	protein_coding
